ticket,order,time,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id
3357672193,0,1740568592,1740568592779,2,0,0,0,0,0.0,0.0,0.0,0.0,100000.0,0.0,,,
3365080444,3408192541,1740658200,1740658200546,0,0,1001,3408192541,3,0.01,1.04784,0.0,0.0,0.0,0.0,EURUSD,Spread-Based Ent,
3365081784,3408193870,1740658210,1740658210924,0,0,1001,3408193870,3,0.01,1.04784,0.0,0.0,0.0,0.0,EURUSD,Spread-Based Ent,
3365083716,3408195741,1740658221,1740658221280,0,0,1001,3408195741,3,0.01,1.04788,0.0,0.0,0.0,0.0,EURUSD,Spread-Based Ent,
3365085040,3408197349,1740658231,1740658231657,0,0,1001,3408197349,3,0.01,1.04789,0.0,0.0,0.0,0.0,EURUSD,Spread-Based Ent,
3365789956,3408951673,1740664620,1740664620910,0,0,1001,3408951673,3,0.01,1.04782,0.0,0.0,0.0,0.0,EURUSD,Spread-Based Ent,
3365790915,3408952789,1740664631,1740664631096,0,0,1001,3408952789,3,0.01,1.04783,0.0,0.0,0.0,0.0,EURUSD,Spread-Based Ent,
3366030374,3409215776,1740666949,1740666949155,1,0,0,3409215776,0,0.01,1.04811,0.0,0.0,0.0,0.0,EURUSD,,
3366033160,3409218681,1740666971,1740666971664,1,1,0,3408951673,0,0.01,1.04813,0.0,0.0,0.31,0.0,EURUSD,,
3366033695,3409219230,1740666976,1740666976271,1,1,0,3408952789,0,0.01,1.04811,0.0,0.0,0.28,0.0,EURUSD,,
3366038178,3409224448,1740667008,1740667008913,0,1,0,3409215776,0,0.01,1.04804,0.0,0.0,0.07,0.0,EURUSD,,
3366038590,3409225123,1740667013,1740667013845,1,1,0,3408197349,0,0.01,1.04807,0.0,0.0,0.18,0.0,EURUSD,,
3366039185,3409225782,1740667020,1740667020586,1,1,0,3408195741,0,0.01,1.04805,0.0,0.0,0.17,0.0,EURUSD,,
3366039500,3409226164,1740667023,1740667023913,1,1,0,3408192541,0,0.01,1.04804,0.0,0.0,0.2,0.0,EURUSD,,
3366039905,3409226567,1740667027,1740667027306,1,1,0,3408193870,0,0.01,1.04805,0.0,0.0,0.21,0.0,EURUSD,,
3366066354,3409255379,1740667302,1740667302870,0,0,1001,3409255379,3,0.01,1.04804,0.0,0.0,0.0,0.0,EURUSD,Spread-Based Ent,
3366102043,3409294710,1740667582,1740667582552,0,0,1001,3409294710,3,0.01,1.0481,0.0,0.0,0.0,0.0,EURUSD,Spread-Based Ent,
3366102980,3409295779,1740667592,1740667592721,0,0,1001,3409295779,3,0.01,1.04816,0.0,0.0,0.0,0.0,EURUSD,Spread-Based Ent,
3366103970,3409296959,1740667602,1740667602892,0,0,1001,3409296959,3,0.01,1.04815,0.0,0.0,0.0,0.0,EURUSD,Spread-Based Ent,
3366105004,3409298045,1740667613,1740667613061,0,0,1001,3409298045,3,0.01,1.04803,0.0,0.0,0.0,0.0,EURUSD,Spread-Based Ent,
3366106182,3409299329,1740667623,1740667623231,0,0,1001,3409299329,3,0.01,1.048,0.0,0.0,0.0,0.0,EURUSD,Spread-Based Ent,
3366106504,3409299780,1740667625,1740667625365,1,1,0,3409299329,0,0.01,1.048,0.0,0.0,0.0,0.0,EURUSD,,
3366106752,3409300019,1740667627,1740667627876,1,1,0,3409298045,0,0.01,1.04799,0.0,0.0,-0.04,0.0,EURUSD,,
3366107015,3409300328,1740667629,1740667629445,1,1,0,3409296959,0,0.01,1.048,0.0,0.0,-0.15,0.0,EURUSD,,
3366107123,3409300596,1740667630,1740667630923,1,1,0,3409295779,0,0.01,1.048,0.0,0.0,-0.16,0.0,EURUSD,,
3366107232,3409300709,1740667632,1740667632788,1,1,0,3409294710,0,0.01,1.048,0.0,0.0,-0.1,0.0,EURUSD,,
3366107284,3409300761,1740667633,1740667633408,0,0,1001,3409300761,3,0.01,1.04801,0.0,0.0,0.0,0.0,EURUSD,Spread-Based Ent,
3366107361,3409300834,1740667633,1740667633988,1,1,0,3409255379,0,0.01,1.048,0.0,0.0,-0.04,0.0,EURUSD,,
3366122259,3409318178,1740667780,1740667780972,0,0,1001,3409318178,3,0.01,1.04811,0.0,0.0,0.0,0.0,EURUSD,Spread-Based Ent,
